"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
5368361,"Los Angeles","Los Angeles","Angelopolis,Cuidad De Los Angelos,Cuidad De los Angelos,El Pueblo de Nuestra Senora La Reina de Los Angeles de Porcivncula,El Pueblo de Nuestra Senora de los Angeles de Porciuncula,El Pueblo de Nuestra Señora de los Ángeles de Porciúncula,El Pueblo del Rio de Nuestra Senora,Gorad Los-Andzhehles,L.A.,LA,LAX,La Reina de Los Angeles de Porciuncula,Lok-chham-ki,Los And'eles,Los Andzelas,Los Andzeles,Los Andzheles,Los Andzhelis,Los Andželas,Los Andželes,Los Angeles,Los Anjeles,Los Anjélés,Los Antzeles,Los Anxheles,Los Anxhelos,Los Anzeles,Los Anzheles,Los Ángeles,Los-Anceles,Los-Andzeles,Los-Andzheles,Los-Angeleso,Los-Anjeles,Los-Anzheles,Los-Anzheles shaary,Los-Anĝeleso,Losandzelosa,Losandželosa,Lo̍k-chhám-kî,Lungsod ng Los Angeles,Luos Andzels,Luos Andžels,Os Anxeles,Os Ánxeles,Pueblo De Los Angeles,Pueblo Los Angelos,el-ei,las aynjls,las encalas,las enjales,las enjalis,lasa ainjalasa,lasa enjalasa,lasa enjilasa,leas anceles,los-anjelesi,losa enjelasa,losa enjelisa,losa enjelsa,loseuaenjelleseu,loseuenjelleseu,ls anjls,luo shan ji,lws anjls,lws anjlws,lws anjlys,lws ʼngls,rosanzerusu,Λος Άντζελες,Горад Лос-Анджэлес,Лос Анджелес,Лос Анджелис,Лос Андьелес,Лос Анжелес,Лос Анђелес,Лос Анџелес,Лос Анҷелес,Лос Анӂелес,Лос-Анджелес,Лос-Анжелес,Лос-Анжелес шаары,Лос-Анџелес,Լոս Անջելես,לאס אנדזשעלעס,לוס אנגלס,لاس اینجلس,لس آنجلس,لس‌آنجلس,لوس آنجلس,لوس أنجلوس,لوس ئانجېلېس,لوس انجليس,لوس‌آنجلس,لۆس ئانجلەس,लस एञ्जिलस,लस एन्जलस,लास एंजलस,लॉस एंजेलिस,लॉस एंजेल्स,লস অ্যাঞ্জেলেস,ਲਾਸ ਐਂਜਲਸ,લોસ એન્જેલસ,லாஸ் ஏஞ்சலஸ்,లాస్ ఏంజలెస్,ಲಾಸ್ ಎಂಜಲೀಸ್,ലോസ് ആഞ്ചെലെസ്,ลอสแอนเจลิส,လော့စ်အိန်ဂျယ်လိစ်မြို့,ლოს-ანჯელესი,ሎስ አንጄሌስ,ロサンゼルス,洛杉矶,洛杉磯,로스앤젤레스,로스엔젤레스,엘에이",34.0522,-118.244,"P","PPLA2","US","","CA","037","","",3971883,89,96,"America/Los_Angeles","2017-06-29"
5368453,"Los Banos","Los Banos","Kreyenhagen's,LSN,Los Ban'os,Los Banos,Los Baños,Los-Ban'os,lasa benosa,luo si ba nuo si,lws banws,lws banws  kalyfrnya,Лос Банос,Лос Баньос,Лос-Баньос,لوس بانوس,لوس بانوس، کالیفرنیا,लस बेनोस,洛斯巴诺斯",37.0583,-120.85,"P","PPL","US","","CA","047","","",37457,36,39,"America/Los_Angeles","2017-03-09"
5368474,"Los Berros","Los Berros","Berros,Los Berros",35.0789,-120.543,"P","PPL","US","","CA","079","","",641,63,66,"America/Los_Angeles","2011-05-14"
5368518,"Los Gatos","Los Gatos","Forbes Mill,Forbestown,Los Gatos,Los-Gatos,lasa getosa,luo si jia tu si,lws gatws  kalyfrnya,lws ghatws,Лос Гатос,Лос-Гатос,لوس غاتوس,لوس گاتوس، کالیفرنیا,लस गेतोस,洛思加圖斯",37.2266,-121.975,"P","PPL","US","","CA","085","","",30705,105,102,"America/Los_Angeles","2017-03-09"
5368528,"Los Gatos Trailer Park","Los Gatos Trailer Park","",37.2286,-121.977,"P","PPLX","US","","CA","085","","",0,109,100,"America/Los_Angeles","2010-02-20"
5368541,"Los Medanos","Los Medanos","",38.0121,-121.851,"P","PPL","US","","CA","013","","",0,12,10,"America/Los_Angeles","2006-01-15"
5368549,"Los Nietos","Los Nietos","",33.9683,-118.071,"P","PPL","US","","CA","037","","",0,47,50,"America/Los_Angeles","2006-01-15"
5368551,"Los Nietos Junction","Los Nietos Junction","",33.9614,-118.07,"P","PPL","US","","CA","037","","",0,47,47,"America/Los_Angeles","2006-01-15"
5368559,"Los Olivos","Los Olivos","",34.6678,-120.115,"P","PPL","US","","CA","083","","",1132,255,255,"America/Los_Angeles","2011-05-14"
5368560,"Los Olivos","Los Olivos","",34.1095,-117.641,"P","PPLX","US","","CA","071","","",0,409,413,"America/Los_Angeles","2007-02-14"
5368565,"Los Osos","Los Osos","Baywood-Los Osos",35.3111,-120.832,"P","PPL","US","","CA","079","","",14276,40,42,"America/Los_Angeles","2011-05-15"
5368591,"Los Pitos (historical)","Los Pitos (historical)","",34.3186,-119.388,"P","PPLQ","US","","CA",111,"","",0,8,9,"America/Los_Angeles","2011-12-12"
5368603,"Los Ranchitos","Los Ranchitos","",37.993,-122.542,"P","PPL","US","","CA","041","","",0,20,19,"America/Los_Angeles","2006-01-15"
5368604,"Los Ranchitos","Los Ranchitos","",33.4834,-117.134,"P","PPLX","US","","CA","065","","",0,319,321,"America/Los_Angeles","2018-04-18"
5368611,"Los Robles Mobile Home Park","Los Robles Mobile Home Park","",33.7722,-118.026,"P","PPLX","US","","CA","059","","",0,9,11,"America/Los_Angeles","2007-02-14"
5368618,"Los Serranos","Los Serranos","Los Seranos,Los Serranos",33.9728,-117.708,"P","PPL","US","","CA","071","","",7099,204,206,"America/Los_Angeles","2006-01-15"
5368621,"Los Terrenitos","Los Terrenitos","Los Terrenitos,Los Terrentos",32.8348,-116.622,"P","PPL","US","","CA","073","","",0,1005,1010,"America/Los_Angeles","2010-02-14"
5368623,"Los Trancos Woods","Los Trancos Woods","",37.3494,-122.199,"P","PPL","US","","CA","081","","",0,291,304,"America/Los_Angeles","2006-01-15"
5368625,"Los Tules","Los Tules","",33.2834,-116.621,"P","PPL","US","","CA","073","","",0,1021,1031,"America/Los_Angeles","2006-01-15"
5368662,"Lost City","Lost City","",38.0866,-120.75,"P","PPL","US","","CA","009","","",0,321,325,"America/Los_Angeles","2006-01-15"
5368676,"Lost Hills","Lost Hills","Lost Hill,Lost Hills",35.6163,-119.694,"P","PPL","US","","CA","029","","",2412,93,93,"America/Los_Angeles","2011-05-14"
5368753,"Lotus","Lotus","Lotus,Marshall,Uniontown",38.8016,-120.909,"P","PPL","US","","CA","017","","",0,220,223,"America/Los_Angeles","2006-01-15"
5368804,"Lovdal","Lovdal","",38.6002,-121.552,"P","PPLX","US","","CA",113,"","",0,6,9,"America/Los_Angeles","2018-04-18"
5368812,"Lovejoy (historical)","Lovejoy (historical)","Lovejoy (historical),Lovejoys",39.9452,-120.658,"P","PPLQ","US","","CA","063","","",0,1770,1781,"America/Los_Angeles","2011-12-12"
5368830,"Lovelock","Lovelock","Lovelock,Lovelocks,Lovelocks Store",39.8913,-121.578,"P","PPL","US","","CA","007","","",0,956,967,"America/Los_Angeles","2006-01-15"
5368868,"Lowell","Lowell","",38.1741,-122.253,"P","PPLX","US","","CA","055","","",0,20,20,"America/Los_Angeles","2018-04-18"
5368954,"Lower Forni","Lower Forni","",38.803,-120.229,"P","PPLL","US","","CA","017","","",0,2112,2116,"America/Los_Angeles","2015-01-15"
5368980,"Lower Lake","Lower Lake","Grantville,Louer Lejk,Lower Lake,lovara leka,Лоуер Лејк,लोवर लेक",38.9104,-122.61,"P","PPL","US","","CA","033","","",1294,418,419,"America/Los_Angeles","2011-05-14"
5369039,"Lower Rancheria (historical)","Lower Rancheria (historical)","",38.438,-120.819,"P","PPLQ","US","","CA","005","","",0,310,308,"America/Los_Angeles","2011-12-12"
5369082,"Lower Town","Lower Town","",38.3674,-119.12,"P","PPL","US","","CA","051","","",0,2328,2330,"America/Los_Angeles","2006-01-15"
5369102,"Lowes Corner","Lowes Corner","",36.0944,-119.232,"P","PPL","US","","CA",107,"","",0,96,96,"America/Los_Angeles","2006-01-15"
5369108,"Loyalton","Loyalton","Lojalton,Lojaltun,Loyalton,Smith's Neck,Smithneck,loyalatana,luo ya er dun,lwyaltwn,lwyaltwn  kalyfrnya,Лоялтън,Лојалтон,لويالتون,لویالتون، کالیفرنیا,लोयलटन,洛亚尔顿",39.6763,-120.241,"P","PPL","US","","CA","091","","",702,1509,1510,"America/Los_Angeles","2017-03-09"
5369114,"Loyola","Loyola","",37.3513,-122.101,"P","PPL","US","","CA","085","","",3261,70,77,"America/Los_Angeles","2011-05-14"
5369116,"Loyola Corners","Loyola Corners","",37.3522,-122.086,"P","PPL","US","","CA","085","","",0,68,71,"America/Los_Angeles","2006-01-15"
5369140,"Lucca","Lucca","",36.2452,-119.09,"P","PPL","US","","CA",107,"","",0,111,112,"America/Los_Angeles","2006-01-15"
5369143,"Lucerne","Lucerne","",36.3808,-119.664,"P","PPL","US","","CA","031","","",3443,79,79,"America/Los_Angeles","2006-01-17"
5369144,"Lucerne","Lucerne","Clear Lake Beach,Lucerne",39.0902,-122.796,"P","PPL","US","","CA","033","","",3067,405,405,"America/Los_Angeles","2011-05-14"
5369150,"Lucerne Valley","Lucerne Valley","",34.4439,-116.968,"P","PPL","US","","CA","071","","",5811,900,898,"America/Los_Angeles","2011-05-14"
5369153,"Lucas Valley","Lucas Valley","",38.0274,-122.558,"P","PPL","US","","CA","041","","",0,33,30,"America/Los_Angeles","2006-01-15"
5369159,"Lucia","Lucia","",36.0208,-121.55,"P","PPL","US","","CA","053","","",0,108,126,"America/Los_Angeles","2006-01-15"
5369217,"Ludlow","Ludlow","Ludlow,Stagg",34.7211,-116.16,"P","PPL","US","","CA","071","","",0,542,543,"America/Los_Angeles","2006-01-15"
5369221,"Lugo","Lugo","",34.3672,-117.342,"P","PPL","US","","CA","071","","",0,1043,1047,"America/Los_Angeles","2006-01-15"
5369229,"Lugonia Homes","Lugonia Homes","",34.0711,-117.181,"P","PPLX","US","","CA","071","","",0,419,420,"America/Los_Angeles","2007-02-14"
5369239,"Lumer","Lumer","",36.0374,-118.991,"P","PPL","US","","CA",107,"","",0,153,155,"America/Los_Angeles","2006-01-15"
5369242,"Lumpkin","Lumpkin","",39.6099,-121.209,"P","PPL","US","","CA","007","","",0,1093,1102,"America/Los_Angeles","2006-01-15"
5369258,"Lund","Lund","",38.3305,-121.644,"P","PPL","US","","CA",113,"","",0,5,-1,"America/Los_Angeles","2006-01-15"
5369259,"Lundy","Lundy","Lundy,Mill Creek",38.0274,-119.242,"P","PPL","US","","CA","051","","",0,2395,2398,"America/Los_Angeles","2006-01-15"
5369273,"Lurline (historical)","Lurline (historical)","",39.2191,-122.246,"P","PPLQ","US","","CA","011","","",0,34,34,"America/Los_Angeles","2011-12-12"
5369328,"Luzon","Luzon","Lutzon,Luzon",38.0144,-122.251,"P","PPL","US","","CA","013","","",0,27,27,"America/Los_Angeles","2006-01-15"
5369342,"Lyman (historical)","Lyman (historical)","",39.5688,-122.194,"P","PPLQ","US","","CA","021","","",0,43,42,"America/Los_Angeles","2011-12-12"
5369364,"Lynn Park Acres","Lynn Park Acres","",38.3894,-120.513,"P","PPL","US","","CA","009","","",0,830,845,"America/Los_Angeles","2006-01-15"
5369367,"Lynwood","Lynwood","Linud,Linvud,Lynwood,lin wu de,lin-udeu,linavuda,lynwwd  kalyfrnya,lynwwwd,rin'uddo,Линвуд,Линуд,لينووود,لینوود، کالیفرنیا,لینووڈ، کیلیفورنیا,लीनवूड,リンウッド,林伍德,린우드",33.9303,-118.211,"P","PPL","US","","CA","037","","",71989,28,31,"America/Los_Angeles","2017-03-09"
5369374,"Lynwood Gardens","Lynwood Gardens","",33.9103,-118.192,"P","PPL","US","","CA","037","","",0,24,26,"America/Los_Angeles","2006-01-15"
5369377,"Lynwood Hills","Lynwood Hills","",32.6453,-117.052,"P","PPL","US","","CA","073","","",0,68,70,"America/Los_Angeles","2006-01-15"
5369408,"Lyoth","Lyoth","",37.7158,-121.382,"P","PPL","US","","CA","077","","",0,24,21,"America/Los_Angeles","2006-01-15"
5369413,"Lytle Creek","Lytle Creek","Apple White Camp,Applewhite Camp,Glenn Ranch,Lytle Creek",34.2592,-117.5,"P","PPL","US","","CA","071","","",701,1042,1044,"America/Los_Angeles","2011-05-14"
5369422,"Lytton","Lytton","Letton Springs,Litton Springs,Litton's Station,Littons Springs,Lytton",38.6594,-122.872,"P","PPL","US","","CA","097","","",0,56,55,"America/Los_Angeles","2006-01-15"
5369452,"Mabie","Mabie","",39.7935,-120.521,"P","PPL","US","","CA","063","","",161,1468,1469,"America/Los_Angeles","2011-05-14"
5369476,"Mace (historical)","Mace (historical)","",34.9153,-117.109,"P","PPLQ","US","","CA","071","","",0,663,667,"America/Los_Angeles","2011-12-12"
5369498,"Machado (historical)","Machado (historical)","Machada,Machado (historical)",33.9845,-118.447,"P","PPLQ","US","","CA","037","","",0,4,10,"America/Los_Angeles","2011-12-12"
5369530,"Mackenson","Mackenson","",38.116,-121.681,"P","PPL","US","","CA","067","","",0,-3,-1,"America/Los_Angeles","2006-01-15"
5369545,"Macomber Palms","Macomber Palms","",33.7986,-116.255,"P","PPL","US","","CA","065","","",0,161,151,"America/Los_Angeles","2006-01-15"
5369568,"Madera","Madera","MAE,Madera,ma de la,madera,madra  kalyfrnya,madyra,Мадера,مادرا، کالیفرنیا,ماديرا,मादेरा,マデラ,马德拉",36.9613,-120.061,"P","PPLA2","US","","CA","039","","",64208,83,87,"America/Los_Angeles","2017-03-09"
5369569,"Madera Acres","Madera Acres","",37.0191,-120.067,"P","PPL","US","","CA","039","","",9163,89,88,"America/Los_Angeles","2011-05-14"
5369577,"Madera Country Club Estates","Madera Country Club Estates","",37.0261,-120.065,"P","PPL","US","","CA","039","","",0,90,94,"America/Los_Angeles","2006-01-15"
5369595,"Madera Highlands","Madera Highlands","",37.0111,-120.081,"P","PPL","US","","CA","039","","",0,82,84,"America/Los_Angeles","2010-02-19"
5369606,"Madera Ranchos","Madera Ranchos","",36.9311,-119.882,"P","PPL","US","","CA","039","","",0,104,103,"America/Los_Angeles","2006-01-15"
5369614,"Madison","Madison","Madison,Мадисон",38.6794,-121.968,"P","PPL","US","","CA",113,"","",503,46,44,"America/Los_Angeles","2011-05-14"
5369657,"Madrid Manor Mobile Home Park","Madrid Manor Mobile Home Park","",33.1548,-117.127,"P","PPLX","US","","CA","073","","",0,215,213,"America/Los_Angeles","2010-02-20"
5369663,"Madrone","Madrone","",37.1505,-121.672,"P","PPL","US","","CA","085","","",0,107,105,"America/Los_Angeles","2006-01-15"
5369664,"Madrone (historical)","Madrone (historical)","",38.3402,-122.506,"P","PPLQ","US","","CA","097","","",0,51,53,"America/Los_Angeles","2011-12-12"
5369676,"Madrone Soda Springs (historical)","Madrone Soda Springs (historical)","",37.1658,-121.513,"P","PPLQ","US","","CA","085","","",0,464,471,"America/Los_Angeles","2011-12-12"
